Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction,flight_phase
1756725687,2025-09-01T11:21:27Z,TLM610,"13.915244,100.602325",0,2,269,Taxi_out
1756725699,2025-09-01T11:21:39Z,TLM610,"13.914929,100.60183",0,2,243,Taxi_out
1756725760,2025-09-01T11:22:40Z,TLM610,"13.914487,100.602455",0,0,243,Taxi_out
1756725772,2025-09-01T11:22:52Z,TLM610,"13.914448,100.602669",0,3,243,Taxi_out
1756725793,2025-09-01T11:23:13Z,TLM610,"13.914382,100.602882",0,2,243,Taxi_out
1756725820,2025-09-01T11:23:40Z,TLM610,"13.914562,100.603119",0,3,243,Taxi_out
1756725978,2025-09-01T11:26:18Z,TLM610,"13.914324,100.603111",0,7,168,Taxi_out
1756725990,2025-09-01T11:26:30Z,TLM610,"13.914047,100.603462",0,9,95,Taxi_out
1756725998,2025-09-01T11:26:38Z,TLM610,"13.91415,100.603714",0,7,47,Taxi_out
1756726005,2025-09-01T11:26:45Z,TLM610,"13.914359,100.603844",0,6,33,Taxi_out
1756726106,2025-09-01T11:28:26Z,TLM610,"13.914569,100.603973",0,3,33,Taxi_out
1756726119,2025-09-01T11:28:39Z,TLM610,"13.914778,100.604095",0,5,33,Taxi_out
1756726127,2025-09-01T11:28:47Z,TLM610,"13.914986,100.60421",0,6,33,Taxi_out
1756726145,2025-09-01T11:29:05Z,TLM610,"13.915593,100.604553",0,0,28,Taxi_out
1756726160,2025-09-01T11:29:20Z,TLM610,"13.916302,100.604942",0,12,28,Takeoff
1756726169,2025-09-01T11:29:29Z,TLM610,"13.916768,100.605202",0,14,28,Takeoff
1756726187,2025-09-01T11:29:47Z,TLM610,"13.917932,100.605858",0,0,28,Takeoff
1756726201,2025-09-01T11:30:01Z,TLM610,"13.918839,100.606369",0,0,28,Takeoff
1756726213,2025-09-01T11:30:13Z,TLM610,"13.919712,100.606865",0,0,28,Takeoff
1756726222,2025-09-01T11:30:22Z,TLM610,"13.920364,100.607231",0,17,28,Takeoff
1756726229,2025-09-01T11:30:29Z,TLM610,"13.920865,100.607506",0,18,28,Takeoff
1756726235,2025-09-01T11:30:35Z,TLM610,"13.921394,100.607796",0,18,28,Takeoff
1756726243,2025-09-01T11:30:43Z,TLM610,"13.921702,100.607971",0,18,28,Takeoff
1756726253,2025-09-01T11:30:53Z,TLM610,"13.922518,100.608429",0,19,28,Takeoff
1756726279,2025-09-01T11:31:19Z,TLM610,"13.924717,100.609673",0,0,28,Takeoff
1756726297,2025-09-01T11:31:37Z,TLM610,"13.925962,100.610374",0,0,28,Takeoff
1756726305,2025-09-01T11:31:45Z,TLM610,"13.926235,100.610519",0,9,30,Takeoff
1756726311,2025-09-01T11:31:51Z,TLM610,"13.926405,100.610779",0,10,70,Takeoff
1756726332,2025-09-01T11:32:12Z,TLM610,"13.926079,100.611671",0,0,118,Takeoff
1756726341,2025-09-01T11:32:21Z,TLM610,"13.925938,100.612038",0,8,109,Takeoff
1756726355,2025-09-01T11:32:35Z,TLM610,"13.925732,100.612144",0,3,118,Takeoff
1756726438,2025-09-01T11:33:58Z,TLM610,"13.92552,100.612",0,3,118,Takeoff
1756726450,2025-09-01T11:34:10Z,TLM610,"13.924988,100.611694",0,29,208,Takeoff
1756726457,2025-09-01T11:34:17Z,TLM610,"13.923466,100.610863",0,0,208,Takeoff
1756726460,2025-09-01T11:34:20Z,TLM610,"13.922704,100.610435",0,0,208,Takeoff
1756726462,2025-09-01T11:34:22Z,TLM610,"13.921967,100.610008",0,82,208,Takeoff
1756726464,2025-09-01T11:34:24Z,TLM610,"13.921156,100.609566",0,90,208,Takeoff
1756726465,2025-09-01T11:34:25Z,TLM610,"13.920678,100.609299",0,94,208,Takeoff
1756726468,2025-09-01T11:34:28Z,TLM610,"13.91938,100.608566",0,105,208,Takeoff
1756726476,2025-09-01T11:34:36Z,TLM610,"13.915581,100.606445",0,135,208,Takeoff
1756726485,2025-09-01T11:34:45Z,TLM610,"13.910646,100.603683",275,161,208,Initial_climb
1756726491,2025-09-01T11:34:51Z,TLM610,"13.905945,100.600952",475,166,209,Initial_climb
1756726500,2025-09-01T11:35:00Z,TLM610,"13.900172,100.597618",825,165,209,Initial_climb
1756726506,2025-09-01T11:35:06Z,TLM610,"13.895843,100.595108",1050,168,209,Initial_climb
1756726514,2025-09-01T11:35:14Z,TLM610,"13.890349,100.591881",1350,170,209,Initial_climb
1756726523,2025-09-01T11:35:23Z,TLM610,"13.884205,100.588463",1700,171,208,Initial_climb
1756726531,2025-09-01T11:35:31Z,TLM610,"13.878479,100.585182",2025,172,211,Initial_climb
1756726535,2025-09-01T11:35:35Z,TLM610,"13.876144,100.583481",2175,173,220,Initial_climb
1756726537,2025-09-01T11:35:37Z,TLM610,"13.874725,100.582062",2250,175,225,Initial_climb
1756726539,2025-09-01T11:35:39Z,TLM610,"13.873777,100.58094",2300,176,232,Initial_climb
1756726541,2025-09-01T11:35:41Z,TLM610,"13.87262,100.579124",2375,177,239,Initial_climb
1756726543,2025-09-01T11:35:43Z,TLM610,"13.871962,100.577759",2450,177,245,Initial_climb
1756726545,2025-09-01T11:35:45Z,TLM610,"13.871429,100.576332",2525,177,249,Initial_climb
