Timestamp,UTC,Callsign,Position,altitude,flight_phase,track,latitude,longitude,aircraft_type,ROCD_m/s,time,delta_t (s),sum_t (s),sum_t (min),Pressure_Pa,TAS_m/s,a_m/s^2,Density,S_m^2,CD0,CD2,cd0_delta,K,gamma_rad,Thr_max_climb_ISA,delta_temp,delta_temp_eff,Thr_max_climb,Thrust_N,eta_kg_per_min_per_kN,fnom_kg_per_s,fmin_kg_per_s,fcr_kg_per_s,fapld_kg_per_s,Fuel_kg_per_s,Fuel_at_time_kg,Fuel_sum_with_time_kg,P1,P2,P3,mt,f2,Sumsq,fmin
1756725687,2025-09-01T11:21:27Z,TLM610,"13.915244,100.602325",0,Taxi_out,269,13.915244,100.602325,737,0.0,11:21:27,0,0,0.0,101325.0,,0.0,,124.65,0.0235,0.0445,0.0235,0.044,,146590.0,,,,,,,0.18385,,0.18385,0.18385,0.0,0.0,,,,57934.07135,,,0.18385
1756725699,2025-09-01T11:21:39Z,TLM610,"13.914929,100.60183",0,Taxi_out,243,13.914929,100.60183,737,0.0,11:21:39,12,12,0.2,101325.0,,,,124.65,0.0235,0.0445,0.0235,0.044,,146590.0,,,,,,,0.18385,,0.18385,0.18385,2.2062,2.2062,,,,57931.86515,,,0.18385
1756725760,2025-09-01T11:22:40Z,TLM610,"13.914487,100.602455",0,Taxi_out,243,13.914487,100.602455,737,0.0,11:22:40,61,73,1.2166666666666666,101325.0,,,,124.65,0.0235,0.0445,0.0235,0.044,,146590.0,,,,,,,0.18385,,0.18385,0.18385,11.21485,13.421050000000001,,,,57920.6503,,,0.18385
1756725772,2025-09-01T11:22:52Z,TLM610,"13.914448,100.602669",0,Taxi_out,243,13.914448,100.602669,737,0.0,11:22:52,12,85,1.4166666666666667,101325.0,,,,124.65,0.0235,0.0445,0.0235,0.044,,146590.0,,,,,,,0.18385,,0.18385,0.18385,2.2062,15.62725,,,,57918.4441,,,0.18385
1756725793,2025-09-01T11:23:13Z,TLM610,"13.914382,100.602882",0,Taxi_out,243,13.914382,100.602882,737,0.0,11:23:13,21,106,1.7666666666666666,101325.0,,,,124.65,0.0235,0.0445,0.0235,0.044,,146590.0,,,,,,,0.18385,,0.18385,0.18385,3.86085,19.4881,,,,57914.58325,,,0.18385
1756725820,2025-09-01T11:23:40Z,TLM610,"13.914562,100.603119",0,Taxi_out,243,13.914562,100.603119,737,0.0,11:23:40,27,133,2.216666666666667,101325.0,,,,124.65,0.0235,0.0445,0.0235,0.044,,146590.0,,,,,,,0.18385,,0.18385,0.18385,4.9639500000000005,24.45205,,,,57909.6193,,,0.18385
1756725978,2025-09-01T11:26:18Z,TLM610,"13.914324,100.603111",0,Taxi_out,168,13.914324,100.603111,737,0.0,11:26:18,158,291,4.85,101325.0,,,,124.65,0.0235,0.0445,0.0235,0.044,,146590.0,,,,,,,0.18385,,0.18385,0.18385,29.0483,53.50035,,,,57880.571,,,0.18385
1756725990,2025-09-01T11:26:30Z,TLM610,"13.914047,100.603462",0,Taxi_out,95,13.914047,100.603462,737,0.0,11:26:30,12,303,5.05,101325.0,,,,124.65,0.0235,0.0445,0.0235,0.044,,146590.0,,,,,,,0.18385,,0.18385,0.18385,2.2062,55.70655,,,,57878.3648,,,0.18385
1756725998,2025-09-01T11:26:38Z,TLM610,"13.91415,100.603714",0,Taxi_out,47,13.91415,100.603714,737,0.0,11:26:38,8,311,5.183333333333334,101325.0,,,,124.65,0.0235,0.0445,0.0235,0.044,,146590.0,,,,,,,0.18385,,0.18385,0.18385,1.4708,57.17735,,,,57876.894,,,0.18385
1756726005,2025-09-01T11:26:45Z,TLM610,"13.914359,100.603844",0,Taxi_out,33,13.914359,100.603844,737,0.0,11:26:45,7,318,5.3,101325.0,,,,124.65,0.0235,0.0445,0.0235,0.044,,146590.0,,,,,,,0.18385,,0.18385,0.18385,1.28695,58.464299999999994,,,,57875.60705,,,0.18385
1756726106,2025-09-01T11:28:26Z,TLM610,"13.914569,100.603973",0,Taxi_out,33,13.914569,100.603973,737,0.0,11:28:26,101,419,6.983333333333333,101325.0,,,,124.65,0.0235,0.0445,0.0235,0.044,,146590.0,,,,,,,0.18385,,0.18385,0.18385,18.56885,77.03314999999999,,,,57857.0382,,,0.18385
1756726119,2025-09-01T11:28:39Z,TLM610,"13.914778,100.604095",0,Taxi_out,33,13.914778,100.604095,737,0.0,11:28:39,13,432,7.2,101325.0,,,,124.65,0.0235,0.0445,0.0235,0.044,,146590.0,,,,,,,0.18385,,0.18385,0.18385,2.39005,79.4232,,,,57854.64815,,,0.18385
1756726127,2025-09-01T11:28:47Z,TLM610,"13.914986,100.60421",0,Taxi_out,33,13.914986,100.60421,737,0.0,11:28:47,8,440,7.333333333333333,101325.0,,,,124.65,0.0235,0.0445,0.0235,0.044,,146590.0,,,,,,,0.18385,,0.18385,0.18385,1.4708,80.89399999999999,,,,57853.17735,,,0.18385
1756726145,2025-09-01T11:29:05Z,TLM610,"13.915593,100.604553",0,Taxi_out,28,13.915593,100.604553,737,0.0,11:29:05,18,458,7.633333333333334,101325.0,,,,124.65,0.0235,0.0445,0.0235,0.044,,146590.0,,,,,,,0.18385,,0.18385,0.18385,3.3093000000000004,84.20329999999998,,,,57849.86805,,,0.18385
